what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1539354838434
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1539354838434
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1539354838435
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1539354838435
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1539354838436
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1539354838436
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1539354838457
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1539354838457
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1539354838458
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1539354838458
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1539354838459
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1539354838460
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1539354838461
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1539354838473
os,sysinfo,,,"win32",1539354838478
arch,sysinfo,,,"x86",1539354838478
ws,sysinfo,,,"win32",1539354838478
locale,sysinfo,,,"en_US",1539354838478
processors,sysinfo,,,"2",1539354838478
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1539354838478
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1539354838478
java.specification.name,sysinfo,,,"Java Platform API Specification",1539354838478
java.specification.vendor,sysinfo,,,"Oracle Corporation",1539354838478
java.specification.version,sysinfo,,,"1.8",1539354838478
java.vendor,sysinfo,,,"Oracle Corporation",1539354838478
java.version,sysinfo,,,"1.8.0_131",1539354838478
java.vm.info,sysinfo,,,"mixed mode",1539354838478
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1539354838478
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1539354838478
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1539354838478
java.vm.specification.version,sysinfo,,,"1.8",1539354838478
java.vm.vendor,sysinfo,,,"Oracle Corporation",1539354838478
java.vm.version,sysinfo,,,"25.131-b11",1539354838478
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1539354839168
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1539354839405
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1539354840037
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1539354840330
